;Date;Artiste;Titre;Audio
110;09/03/2002;Rohff feat. Kayliah;Qui est l'exemple ?;https://p.scdn.co/mp3-preview/637e2950d410f1bdbcabf206ac63928741f5ba8b?cid=4d3bffd173c84f21ab47981ba6cd15f8
111;30/03/2002;Shakira;Whenever, Wherever;https://p.scdn.co/mp3-preview/93dc52d836150fba41afeb6df2e9167875c7d8fb?cid=4d3bffd173c84f21ab47981ba6cd15f8
112;04/05/2002,06/07/2002,27/07/2002;Bratisla Boys;Stach stach;https://p.scdn.co/mp3-preview/0c77f8070dba8846a02bb990e215c0cf69bbcd12?cid=4d3bffd173c84f21ab47981ba6cd15f8
113;13/07/2002;Félicien;Cum-cum mania;https://p.scdn.co/mp3-preview/3eb3011ba9a2f065b3af6ace1a1269df9b7e5705?cid=4d3bffd173c84f21ab47981ba6cd15f8
114;20/07/2002;Indochine;J'ai demandé à la lune;https://p.scdn.co/mp3-preview/3b642a34c6917fa59b961d046db4a85f9f19917e?cid=4d3bffd173c84f21ab47981ba6cd15f8
115;17/08/2002;MC Solaar;Inch'Allah;https://p.scdn.co/mp3-preview/d91df89625193b631843b8b76a09a76c6133a851?cid=4d3bffd173c84f21ab47981ba6cd15f8
116;14/09/2002,23/11/2002,07/12/2002;Las Ketchup;The Ketchup Song (Aserejé);https://p.scdn.co/mp3-preview/aa882e8bc42740d96cd2b872a063d5b94df61ce3?cid=4d3bffd173c84f21ab47981ba6cd15f8
117;30/11/2002;Whatfor;Plus haut;https://p.scdn.co/mp3-preview/1335a922a81dd41499930324043c77b41843a956?cid=4d3bffd173c84f21ab47981ba6cd15f8
118;01/02/2003;Alphonse Brown;Le Frunkp;https://p.scdn.co/mp3-preview/c6adbcbc20ba4094ce996e4b41d212cef79041a5?cid=4d3bffd173c84f21ab47981ba6cd15f8
119;31/05/2003,14/06/2003;Lorie;Sur un air latino;https://p.scdn.co/mp3-preview/26ef3c220f645b82c4eb220163038f22696aa0f4?cid=4d3bffd173c84f21ab47981ba6cd15f8
120;07/06/2003;Pascal Obispo;Fan;https://p.scdn.co/mp3-preview/f84111c69cf2e2c109085ecbe0e184af0b586c04?cid=4d3bffd173c84f21ab47981ba6cd15f8
121;21/06/2003;DJ BoBo;Chihuahua;https://p.scdn.co/mp3-preview/bbb51e4c3eb51914c1ac6c9f0dd582ab19b597d8?cid=4d3bffd173c84f21ab47981ba6cd15f8
122;30/08/2003;Jocelyne Labylle & Cheela feat. Jacob Desvarieux & Passi;Laisse parler les gens;https://p.scdn.co/mp3-preview/c049ad332ea77971830b1c6346d27eb2afa88a66?cid=4d3bffd173c84f21ab47981ba6cd15f8
123;20/09/2003;Lorna;Papi chulo (te traigo el mmm...);https://p.scdn.co/mp3-preview/366345805afaca73272482cd6389587bb69ccce8?cid=4d3bffd173c84f21ab47981ba6cd15f8
124;27/09/2003,06/12/2003;Tragédie;Hey oh;https://p.scdn.co/mp3-preview/62061c5fa488c21c4a093e44e4f32eafa5b8f8c1?cid=4d3bffd173c84f21ab47981ba6cd15f8
125;22/11/2003;Linkup;Mon étoile;https://p.scdn.co/mp3-preview/521457dbaa194d95044997e5486accd037538e46?cid=4d3bffd173c84f21ab47981ba6cd15f8
126;20/12/2003 17/01/2004;Star Academy 3;L'Orange / Wot;https://p.scdn.co/mp3-preview/478f4f09547b72c2b67df674fe6240ef0c44a801?cid=4d3bffd173c84f21ab47981ba6cd15f8
127;10/01/2004;Tragédie;Sexy pour moi;https://p.scdn.co/mp3-preview/c8d5446c23fa2f746c38cd95390b826492073bb0?cid=4d3bffd173c84f21ab47981ba6cd15f8
128;24/01/2004,07/02/2004,03/04/2004;Kareen Antonn & Bonnie Tyler;Si demain... (Turn Around);https://p.scdn.co/mp3-preview/473cb14119a229d0d639a23fb86e957abad20a9d?cid=4d3bffd173c84f21ab47981ba6cd15f8
129;27/03/2004;J-Five feat. Charlie Chaplin;Modern Times;https://p.scdn.co/mp3-preview/964b4524d158f93b3a70d072e94d5336fc96586f?cid=4d3bffd173c84f21ab47981ba6cd15f8
130;17/04/2004;Usher feat. Lil Jon & Ludacris;Yeah!;https://p.scdn.co/mp3-preview/1eca1cb525c2b0df2ecba52f1105f139323e09a2?cid=4d3bffd173c84f21ab47981ba6cd15f8
131;24/04/2004;O-Zone;Dragostea din tei;https://p.scdn.co/mp3-preview/80e9ea6cd288991bd8d8cdbfb79ed17d10061ee2?cid=4d3bffd173c84f21ab47981ba6cd15f8
132;07/08/2004;K-Maro;Femme Like U (Donne moi ton corps);https://p.scdn.co/mp3-preview/11a0b41ab97e7840782f3fbeac5aa923459dd2fa?cid=4d3bffd173c84f21ab47981ba6cd15f8
133;14/08/2004;Aventura;Obsesión;https://p.scdn.co/mp3-preview/fc9c4e31536a1e7f9584ce8c97be295b7de9bac9?cid=4d3bffd173c84f21ab47981ba6cd15f8
134;02/10/2004;Star Academy 4;Laissez-moi danser;https://p.scdn.co/mp3-preview/2a1ea2d605824a591499209c5db458258bc4d140?cid=4d3bffd173c84f21ab47981ba6cd15f8
135;13/11/2004;Tragédie;Gentleman;https://p.scdn.co/mp3-preview/88c3086ccfad9f46afbf5e4f7094227b67b730dd?cid=4d3bffd173c84f21ab47981ba6cd15f8
136;20/11/2004;Starsailor;Four to the Floor (Thin White Duke remix);https://p.scdn.co/mp3-preview/fdd664fc5677bfd17b6bff07c138883e826a42da?cid=4d3bffd173c84f21ab47981ba6cd15f8
137;01/01/2005;Star Academy 4;Adieu monsieur le professeur;https://p.scdn.co/mp3-preview/5ea2582402d5c7f5ec40169287b4a7ee91512ea7?cid=4d3bffd173c84f21ab47981ba6cd15f8
138;08/01/2005;Eric Prydz;Call on Me;https://p.scdn.co/mp3-preview/31bc0a16df83fa78aa422068e79d2aa960ac3249?cid=4d3bffd173c84f21ab47981ba6cd15f8
